ID,Category,Language,Genre,Pubdate,Author_Last,Author_First,Work_Title,token_count,total_characters,avg_sentence_length,avg_word_length,speed_avg,circuitousness,volume,goodreads_avg,goodreads_URL
"2012_Wangersky,Russell_WhirlAwayStories_PW.txt",FIC,English,Unkown,2012,Wangersky,Russell,WhirlAwayStories,64534,22,24.5189969605,4.1259345465,-2.39,0.1274,-2.9021,4.0,https://www.goodreads.com/search?q=+Whirl+Away+Stories
"2012_Weber,David_ARisingThunder_SF.txt",FIC,English,Science Fiction,2012,Weber,David,ARisingThunder,198722,183,21.1473874641,4.5205058384,-2.2924,0.19394,-3.0899,4.1,https://www.goodreads.com/search?q=David+Weber+A+Rising+Thunder
"2012_Weird,Theresa_TheManWhoLeft_ME.txt",NON,English,Memoir,2012,Weird,Theresa,TheManWhoLeft,69839,21,13.3739946381,3.9553744992,-2.3208,0.14368,-2.8875,4.11,https://www.goodreads.com/search?q=+The+Man+Who+Left
"2012_Whitney,Craig_LivingwithGuns_NF.txt",NON,English,Mixed Genre,2012,Whitney,Craig,LivingWithGuns,94960,45,36.2581137839,4.7469189086,-2.2805,0.11324,-2.8378,3.34,https://www.goodreads.com/search?q=Craig+Whitney+Living+With+Guns
"2012_Williams,WalterJon_TheFourthWall_SF.txt",FIC,English,Science Fiction,2012,Williams,WalterJon,TheFourthWall,152292,72,14.9276612429,4.0623617311,-2.2419,0.23446,-2.996,4.37,https://www.goodreads.com/search?q=+The+Fourth+Wall
"2012_Young,Neil_WagingHeavyPeace_NF.txt",NON,English,Mixed Genre,2012,Young,Neil,WagingHeavyPeace,132554,105,16.5899874844,4.0766081269,-2.2735,0.21225,-3.0172,3.59,https://www.goodreads.com/search?q=Neil+Young+Waging+Heavy+Peace
"2013_Aguirre,AA_BronzeGods_SF.txt",FIC,English,Science Fiction,2013,Aguirre,AA,BronzeGods,138804,43,13.4317785949,4.2929806003,-2.3927,0.21526,-3.1154,3.68,https://www.goodreads.com/search?q=AA+Aguirre+Bronze+Gods
"2013_Albom,Mitch_FirstPhoneCall_BS.txt",FIC,English,Unkown,2013,Mitch,Albom,FirstPhoneCall,89977,59,11.2288780731,4.255139506,-2.3668,0.18384,-2.9864,3.77,https://www.goodreads.com/search?q=Albom+Mitch+First+Phone+Call
"2013_AlireSaenz,Benjamin_EverythingBeginsandEndsattheKentucky_PW.txt",FIC,English,Unkown,2013,AlireSaenz,Benjamin,EverythingBeginsandEndsattheKentucky,76597,34,10.244349338,3.7690885801,-2.3413,0.12653,-2.8948,4.19,https://www.goodreads.com/search?q=+Everything+Beginsand+Endsatthe+Kentucky
2013_AmandaLindhout_SaraCorbett_AHouseintheSky_ME.txt,NON,English,Memoir,2013,Lindhout,Amanda,AHouseintheSky,154392,54,17.5206536541,4.2297579945,-2.3482,0.17148,-3.0516,4.23,https://www.goodreads.com/search?q=+A+Houseinthe+Sky
"2013_Ambrose,Stephen_UndauntedCourage_HIST.txt",NON,English,Historical,2013,Ambrose,Stephen,UndauntedCourage,259491,157,23.4961064832,4.5545477596,-2.3448,0.14027,-3.172,4.18,https://www.goodreads.com/search?q=Stephen+Ambrose+Undaunted+Courage
"2013_Anderson,Scott_LawrenceinArabia_NF.txt",NON,English,Mixed Genre,2013,Anderson,Scott,LawrenceinArabia,260566,122,32.2163699308,4.7493323638,-2.3586,0.20082,-3.2326,4.03,https://www.goodreads.com/search?q=+Lawrencein+Arabia
"2013_Angelini,Jude_Hyena_ME.txt",NON,English,Memoir,2013,Angelini,Jude,Hyena,50328,22,13.2476967623,3.7045632519,-2.3383,0.15193,-2.8687,4.09,https://www.goodreads.com/search?q=Jude+Angelini+Hyena
